Feature Category,Feature,Description,Trial,Brochure,Niche,Pro
Footer,Footer Section,Add footer section,X,X,X,X
Footer,Footer Simple,Simple footer with copyright,X,X,X,X
Footer,Footer Columns,3-column footer layout,X,X,X,X
Footer,Footer Background,Control footer background color,X,X,X,X
Footer,Footer Padding,Control footer spacing,X,X,X,X
Footer,Footer Text Align,Left/center/right alignment,X,X,X,X
Footer,Copyright Section,Separate copyright styling (columns),X,X,X,X
Page Management,Add New Page,Create additional pages,X,X,X,X
Page Management,Delete Page,Remove pages (except homepage),X,X,X,X
Page Management,Rename Page,Change page name and slug,X,X,X,X
Page Management,Reorder Pages,Change page order,X,X,X,X
Page Management,Set Homepage,Designate homepage (first page locked),X,X,X,X
Page Management,Sitemap View,Visual page tree structure,X,X,X,X
Page Management,Page CSS,Page-specific custom CSS,X,X,X,X
Styling - Site Level,Site CSS Editor,Global stylesheet for entire site,X,X,X,X
Styling - Site Level,Font Family,Site-wide font selection,X,X,X,X
Styling - Site Level,Text Color,Default text color,X,X,X,X
Styling - Site Level,Font Size,Base font size,X,X,X,X
Styling - Site Level,Body Padding,Global body padding,X,X,X,X
Styling - Site Level,Body Margin,Global body margin,X,X,X,X
Styling - Site Level,Background Color,Site background color,X,X,X,X
Styling - Site Level,Header Settings (H1-H4),Configure all header tag styles,X,X,X,X
Styling - Site Level,Paragraph Styling,Paragraph padding and margin,X,X,X,X
Styling - Site Level,Hyperlink Styling,Link colors (default/hover/visited),X,X,X,X
Styling - Page Level,Page CSS Editor,Page-specific styling,X,X,X,X
Styling - Page Level,Background Color,Page background color,X,X,X,X
Styling - Page Level,Body Padding,Page-specific body padding,X,X,X,X
Styling - Page Level,Body Margin,Page-specific body margin,X,X,X,X
Styling - Section Level,Section CSS Editor,Section-specific styling via modal,X,X,X,X
Styling - Section Level,Background Color,Section background color,X,X,X,X
Styling - Section Level,Background Image,Upload background image,X,X,X,X
Styling - Section Level,Background Properties,Size/position/repeat controls,X,X,X,X
Styling - Section Level,Padding (All Sides),Top/right/bottom/left padding,X,X,X,X
Styling - Section Level,Margin (All Sides),Top/right/bottom/left margin,X,X,X,X
Styling - Section Level,Width,Section width control,X,X,X,X
Styling - Section Level,Height,Section height control,X,X,X,X
Styling - Section Level,Min-Width,Minimum width constraint,X,X,X,X
Styling - Section Level,Min-Height,Minimum height constraint,X,X,X,X
Styling - Section Level,Border Width,Border thickness,X,X,X,X
Styling - Section Level,Border Style,Solid/dashed/dotted/double,X,X,X,X
Styling - Section Level,Border Color,Border color picker,X,X,X,X
Styling - Section Level,Border Radius,Rounded corners,X,X,X,X
Styling - Section Level,Display Property,Block/flex/grid/inline options,X,X,X,X
Styling - Section Level,Overflow,Visible/hidden/auto/scroll,X,X,X,X
Styling - Section Level,Float,Left/right/center positioning,X,X,X,X
Styling - Section Level,Text Decoration,Underline/none for links,X,X,X,X
Styling - Section Level,Opacity,Transparency slider,X,X,X,X
Styling - Section Level,Box Shadow,Drop shadow control,X,X,X,X
Styling - Row Level,Row CSS Editor,Grid row styling,X,X,X,X
Styling - Row Level,All Section-Level Properties,Same as section styling options,X,X,X,X
Styling - Column Level,Column CSS Editor,Individual column styling,X,X,X,X
Styling - Column Level,All Section-Level Properties,Same as section styling options,X,X,X,X
Advanced Features,Code View Toggle,View/edit HTML source code,NO,X,X,X
Advanced Features,Custom CSS Code Tab,Write raw CSS directly,NO,X,X,X
Advanced Features,Undo,Undo last 10 actions,X,X,X,X
Advanced Features,Redo,Redo undone actions,X,X,X,X
Advanced Features,Keyboard Shortcuts,Ctrl+S/Z/Y shortcuts,X,X,X,X
Advanced Features,Save Website,Save changes to database,X,X,X,X
Advanced Features,Live Preview,Preview in new browser tab,X,X,X,X
Advanced Features,Publish Website,Set published status,NO,X,X,X
Advanced Features,Unpublish Website,Revert to draft status,NO,X,X,X
Advanced Features,Export Section,Save section to library,NO,X,X,X
Advanced Features,Import Section,Load section from library,NO,X,X,X
Advanced Features,Export Page,Save page to library,NO,X,X,X
Advanced Features,Import Page,Load page from library,NO,X,X,X
Advanced Features,Section Library Access,Browse saved sections,NO,X,X,X
Advanced Features,Page Library Access,Browse saved pages,NO,X,X,X
Advanced Features,CSS Inheritance Display,Show inherited vs overridden styles,X,X,X,X
Advanced Features,Viewport Switcher,Desktop/tablet/mobile preview,X,X,X,X
Advanced Features,Zoom Controls,Zoom in/out on canvas,X,X,X,X
Advanced Features,Show/Hide UI,Toggle sidebar visibility,X,X,X,X
Advanced Features,Responsive Design,Mobile-first responsive layouts,X,X,X,X
Collaboration (Pro Only),Collaborator Management,Add/edit/delete collaborators,NO,NO,NO,X
Collaboration (Pro Only),Groups,Create permission groups,NO,NO,NO,X
Collaboration (Pro Only),Permissions,Control collaborator access,NO,NO,NO,X
Collaboration (Pro Only),Share Sections,Share sections with collaborators,NO,NO,NO,X
Collaboration (Pro Only),Share Pages,Share pages with collaborators,NO,NO,NO,X
Journal (Niche/Pro),Notes System,Create/edit notes,NO,NO,X,X
Journal (Niche/Pro),Share Notes,Share notes with collaborators (Pro only),NO,NO,NO,X
Limitations,Max Pages,Maximum number of pages allowed,4,20,30,UL
Limitations,Max Sections Per Page,Maximum sections per page,10,40,40,40
Limitations,Max Images,Maximum images in gallery,10,250,500,1000
Limitations,Max Storage,Total storage space (MB),250,2000,4000,8000 (Increasable for fee)
Limitations,Custom Domain,Connect custom domain,NO,X,X,X
Limitations,Remove Pagevoo Branding,"Remove ""Powered by Pagevoo"" footer",NO,X,X,X
Support,Documentation Access,Access help docs,X,X,X,X
Support,Video Tutorials,Access video tutorials,X,X,X,X
Support,Email Support,Contact support via email,NO,X,X,X
Support,Priority Support,Faster response time,NO,NO,NO,X
Template Manager,Access to trial templates,Templates created by template manager labelled as Trial (uses only trial features),X,X,X,X
Template Manager,Access to brochure templates,Templates created by template manager labelled as Brochure,X,X,X,X
Template Manager,Access to niche templates,Templates created by template manager labelled as Niche,NO,NO,X,X
Template Manager,Access to pro templates,Templates created by template manager labelled as Pro,NO,NO,NO,X
Template Manager,Trial Feature Indicator,Show badge in Template Manager if template only uses trial features,X,X,X,X
Script Feature,Contact form builder,Special packaged scripts for websites,X,X,X,X
Script Feature,Image Gallery (Carousel/Slider etc),Special packaged scripts for websites,X,X,X,X
Script Feature,Blog and News,Special packaged scripts for websites,X,X,X,X
Script Feature,Wordpress Style,Special packaged scripts for websites,NO,X,X,X
Script Feature,Event Planner,Special packaged scripts for websites,NO,NO,X,X
Script Feature,Booking System,Special packaged scripts for websites,NO,NO,X,X
Script Feature,Simple Shop,Special packaged scripts for websites,NO,NO,X,X
Script Feature,Video Hosting,Special packaged scripts for websites,NO,NO,NO,X
Script Feature,File Sharing,Special packaged scripts for websites,NO,NO,NO,X
Script Feature,Social Engine,Special packaged scripts for websites,NO,NO,NO,X
Script Feature,Courses and Teaching,Special packaged scripts for websites,NO,NO,NO,X
